,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,target
48,193,1.958,8.772,7.112,79.78,3.745,6.015,4.463,574.7,1.304,6.404,1.502,21.8,2.463,1.293,13.83,2.978,2.972,2.434,20.95,1.205,466.1,2.703,9.261,9.445,12.36,30.5,2.493,1
49,178,135,9.855,508,96.22,3.781,2.602,1.706,793.7,1.216,565,1.217,16.95,1.637,9.073,16.11,2.713,2.404,6.648,24.28,8.485,685.9,7.276,6.428,7.885,14.97,23,137,1
50,1.678,1.592,1.036,7.897,54.53,151,2.565,3.925,275.6,1.641,7.126,6.793,13.1,2.235,732,9.473,1.267,2.983,1.754,7.254,8.512,221.3,1.801,1.049,7.632,8.571,18.45,1.762,1
51,1.925,1.782,9.965,6.953,81.09,3.821,8.005,3.586,677.9,1.426,6.373,1.044,18.6,2.378,1.037,14.97,3.961,3.014,2.671,30.29,1.015,481.9,2.701,875,1.058,12.47,24.64,1.911,1
52,194,4.243,1.054,1.289,71.94,7.583,5.006,1.963,436.1,1.424,6.028,1.966,19.86,9.669,4.967,11.98,2.976,3.292,1.335,19.62,2.022,387.3,3.297,6.522,6.779,11.22,25.78,1.104,1
53,1.582,1.386,9.009,4.444,,7.951,108,1.698,1866,1.193,5.461,7.975,21.31,2.336,137,24.86,7.888,2.551,2.687,96.05,1.789,1130,2.269,6.589,1.029,18.94,26.58,1.652,0
54,1.638,1.884,1.022,5.884,86.6,278,3.974,1.817,699.4,1.339,571,1.373,18.3,1.751,9.366,15.1,295,2.678,1.381,25.22,7.911,555.1,1.872,6.603,8.165,13.45,25.94,1.491,1
55,1.902,2.541,9.783,1.721,58.79,2.872,8.606,2.193,284.4,1.207,898,8.522,14.64,2.436,1.766,9.733,5.262,2.254,1.434,25.44,4.786,244,5.671,1.084,1.531,8.888,15.67,9.368,1
56,1.583,1.713,8.785,6.131,80.88,2.402,236,4.414,566.9,1.314,6.275,6.457,12.17,1.607,8.231,13.65,2.253,2.775,9.385,17.37,8.224,495,9.075,9.464,5.794,12.7,16.92,1.263,1
57,1.967,2.793,9.363,8.872,77.32,3.142,6.636,4.775,531.2,1.405,6.314,1.563,18.35,3.046,1.785,13.25,2.963,3.397,2.806,21.46,1.138,432.2,5.946,8.365,1.154,11.89,27.1,4.192,1
58,2.113,1.591,123,7.159,124.4,1.198,3.189,5.099,1304,1.873,7.115,7.747,21.02,5.917,1.051,20.8,403,3.245,9.034,41.51,1.964,994,6.165,1.198,2.576,17.91,27.78,3.718,0
59,1.769,2.574,86,8.968,51.71,5.917,1.588,2.582,242.2,1.297,6.503,9.567,16.84,1.357,5.917,8.964,1.563,3.105,688,8.205,2.564,201.9,1.588,7.409,5.943,8.196,21.96,1.646,1
60,1.395,1.613,6.251,3.418,82.01,1.852,1.595,9.683,608.8,8.125,5.234,1.142,22.22,3.432,1.852,14,1.731,2.295,7.977,14.34,9.259,526.4,1.595,5.843,1.938,13.01,29.02,2.252,1
61,1.381,1.254,9.594,7.809,68.77,1.698,2.531,212,414,1.436,64,4.064,9.71,1.257,5.344,11.6,1.728,209,1.047,11.48,4.603,357.6,1.099,7.699,5.736,10.8,12.02,9.816,1
62,2.569,2.768,117,5.485,135.9,1.504,2.565,3.345,1938,1.592,667,1.023,21.51,4.492,1.369,25.3,5.702,5.558,5.344,69.06,2.685,1264,319,1.024,1.875,20.34,31.86,2.431,0
63,1.473,1.329,7.944,2.838,88.12,1.329,2.881,1.976,725.9,9.711,558,7.574,17.91,1.824,5.828,15.34,0.25,235,1.564,21.47,6.019,585,178,7.014,6.376,13.74,22.46,1.592,1
64,1.308,2.175,1.006,3.113,114.5,6.597,1.682,1.256,1021,1.243,5.866,1.667,25.56,1.793,3.927,18.07,5.296,1.603,2.803,58.53,1.099,948,1.438,6.818,1.146,17.42,28.07,8.555,0
65,162,149,9.578,6.298,89.77,2.369,3.688,3.599,688.6,1.264,6.688,1.047,20.7,2.037,9.061,15.05,272,2.249,1.377,23.12,6.845,584.8,2.615,8.492,1.018,13.87,24.75,2.172,1
66,2.106,1.939,1.026,596,90.96,5.602,9.901,456,750.1,146,6.916,1.194,16.93,437,1.435,15.75,2.563,363,4.636,22.69,1.654,578.9,3.909,1.059,1.517,13.86,26.93,3.438,0
67,304,2.308,1.186,8.029,116,1.401,2.229,7.444,1461,1.545,7.413,976,16.4,3.949,2.397,22.25,1.046,4.066,3.853,111.4,255,912.7,3.732,1.059,2.276,17.14,21.4,3.799,0
68,162,1.651,8.983,6.153,74.34,335,4.196,2.551,512.5,1.431,6.582,5.391,12.84,1.851,6.884,13.06,2.315,2.772,1.922,15.75,8.449,412.6,1.693,8.756,7.525,11.6,17.16,133,1
69,1.668,1.055,9.883,4.123,98.73,6.142,7.721,3.237,856.9,1.135,6.869,8.423,16.74,2.176,1.004,16.76,372,2.177,1.856,34.84,1.018,689.4,1.996,8.549,1.364,15.04,20.43,1.819,1
70,1.717,2.279,1.044,1.052,60.11,1.504,2.172,4.237,330.7,1.548,6.899,2.011,21.01,1.664,9.333,10.41,2.351,2.878,9.412,14.2,6.517,269.4,1.714,9.211,7.773,9.465,31.56,1.755,1
71,1.852,3.151,832,6.831,96.71,2.739,4.686,175,931.4,1.148,5.294,1.627,29.81,9.866,9.087,17.26,4.681,3.233,1.547,45.38,6.575,719.5,2.489,6.165,4.605,15.13,36.91,1.427,0
72,1.739,1.925,9.847,5.627,115,7.953,9.875,3.742,1227,1.255,6.149,8.225,15.05,2.812,1.354,20.01,6.003,2.756,2.489,61.1,1.456,955.1,3.407,7.919,1.157,17.57,19.52,3.033,0
73,2.521,3.672,1.073,6.789,102.5,9.756,2.077,4.394,980.9,139,7.032,7.096,14.26,5.954,2.252,18.07,4.388,4.667,6.305,44.91,2.393,704.4,6.446,9.946,2.135,15.34,19.08,5.328,0
74,1.989,2.768,101,1.124,128.9,1.021,1.856,624,1313,1.251,5.884,2.836,23.21,2.414,3.441,20.82,6.107,2.576,3.829,70.1,1.825,1174,7.469,7.602,1.318,19.55,30.44,4.097,0
75,2.131,156,1.236,1.288,76.37,4.531,4.515,5.824,487.7,1.768,7.405,1.978,24.44,3.251,1.766,12.98,2.957,2.803,1.395,20.95,1.308,406.4,1.865,997,1.552,11.69,32.19,3.495,1
76,1.359,9.539,8.182,4.291,98.17,3.157,5.892,1.656,932.7,1.222,5.526,3.628,12.91,2.186,7.373,17.38,2.134,232,2.962,20,1.035,725.5,1.841,7.474,623,15.27,15.92,1.236,1
77,1.819,219,806,7.491,82.61,4.167,692,299,624.1,1.021,5.501,1.214,19.31,6.191,4.167,14.23,404,2.439,1.845,32.96,1.111,527.2,692,6.289,3.789,13.05,22.25,8.593,1
78,2.556,3.112,1.326,6.515,152.8,1.823,4.264,5.037,2360,1.701,7.039,1.545,19.67,6.997,248,28.4,1.215,4.055,9.608,170,291,1509,104,9.789,2.768,22.27,28.01,8.668,0
79,2.249,2.736,108,7.964,134.7,128,2.283,5.928,1696,1.347,7.469,1.743,23.86,3.391,1.936,23.68,1.072,3.294,4.932,130.8,1.923,1247,7.649,9.469,1.838,20.09,29.43,4.732,0
80,2.162,2.045,1.167,5.215,144.4,1.562,281,4.028,2081,1.502,6.606,9.209,22.28,5.717,1.288,26.23,6.242,3.828,7.053,80.99,2.422,1407,4.718,1.007,2.087,21.61,28.74,3.726,0
81,0.18,1.575,1.094,4.631,182.1,1.878,2.871,2.747,3216,1.472,577,1.481,21.87,4.034,1.241,33.12,8.361,2.856,534,128.7,2.688,2250,3.109,8.082,1.914,27.22,32.85,2.537,0
82,184,187,8.275,4.775,94.7,3.027,4.105,2.626,826.4,106,568,1.385,25.42,1.376,1.269,16.51,3.031,2.722,1.611,27.41,1.095,668.6,1.947,6.956,7.214,14.74,32.29,1.172,1
83,1.807,1.275,9.746,4.821,118.7,795,113,2.451,1485,1.434,5.664,5.503,18.87,2.763,1.143,21.84,4.041,2.812,3.853,48.9,1.776,1027,2.408,8.198,1.117,18.22,25,1.659,0
84,1.784,138,8.162,328,86.18,2.031,311,1.286,787.9,1.094,5.587,8.265,21.58,2.043,6.881,15.93,2.385,2.994,2.085,20.53,1.112,563,139,7.146,6.031,13.44,30.25,1.102,0
85,1.688,1.278,9.768,7.803,76.53,2.008,3.328,3.856,583,0.15,6.194,9.227,21.53,2.399,7.711,13.67,3.118,2.438,1.503,24.79,7.247,438.6,1.835,8.541,7.849,11.93,26.15,2.507,1
86,2.163,6.146,1.074,2.075,54.09,0,0,682,240.1,1.347,7.359,2.777,18.6,7.767,0,8.952,3.368,3.142,0,17.81,0,221.2,0,8.116,5.847,8.597,22.44,1.403,1
87,1.946,203,8.217,4.428,123.4,5.627,9.271,2.686,1538,1.021,5.044,1.342,18.91,2.264,1.361,22.32,6.896,2.841,3.207,81.23,1.218,1138,404,6.541,8.028,19,25.73,2.731,0
88,1.801,1.956,8.439,491,152.1,9.702,1.324,374,2403,1.228,5.553,8.561,22.04,3.583,1.623,28.01,6.642,3.589,3.948,97.85,2.346,1686,2.822,9.187,1.145,23.27,28.22,2.544,0
89,1.743,2.719,1.061,1.049,66.52,3.965,6.726,7.596,390.4,1.402,7.279,1.471,16.18,236,1.544,11.28,3.677,2.608,1.898,22.68,9.744,324.2,4.004,9.702,1.111,10.25,20.61,4.265,1
90,1.907,2.428,1.099,6.294,123.7,1.009,1.974,3.535,1567,1.679,6.049,6.633,17.6,509,1.695,22.82,6.289,3.799,7.345,71.56,2.378,1076,5.554,9.185,1.686,18.65,21.32,3.994,0
91,1.669,1.223,106,5.314,91.12,6.463,1.126,2.846,869.3,1.613,6.544,9.533,19.62,3.568,9.567,17.04,2.208,3.179,4.069,18.85,1.827,599.5,2.185,1.055,1.133,13.98,30.8,1.791,0
92,1.721,1.924,9.401,5.687,147.3,,2.195,4.614,2384,1.272,6.194,1.352,20.99,4.725,1.561,28.19,1.167,2.833,5.807,156.8,1.841,1491,6.329,8.858,1.961,21.75,28.18,496,0
93,1.818,184,9.984,1.215,74.65,2.594,6.737,5.512,457.8,1.345,6.782,1.768,14.44,2.118,1.494,12.26,2.784,2.329,1.797,20.86,6.918,402.9,5.553,8.134,112,11.54,19.68,4.112,1
94,1.353,1.325,7.685,4.477,87.21,1.723,1.857,2.551,656.7,1.089,5.953,9.234,16.34,1.582,7.956,14.67,1.872,2.346,105,14.55,8.586,571.8,1.079,8.025,6.059,13.64,23.19,1.177,1
95,1.405,1.227,8.817,6.432,88.37,9.937,1.055,2.564,706.6,1.072,5.848,4.833,15.79,1.071,5.657,15.27,3.563,1.859,3.517,29.34,3.312,585.9,7.741,681,6.718,13.78,17.5,1.156,1
96,1.978,2.186,1.027,1.061,129.1,8.886,2.049,3.949,1417,1.463,0.06,1.802,23.5,2.968,1.559,21.65,5.243,292,3.458,60.41,1.564,1155,3.915,7.614,1.558,19.4,30.53,3.252,0
97,1.373,1.416,9.309,6.692,90.03,2.733,1.765,2.476,749.9,1.281,57,1.081,12.88,1.109,6.627,15.53,2.571,0.21,5.307,23.92,589,616.5,5.717,7.083,5.306,14.11,18,1.132,1
98,1.957,1.807,1.175,1.459,76.38,5.564,102,5.217,528.1,178,7.255,1.74,18.18,2.878,1.841,13.36,4.101,266,3.186,27.85,1.416,408.8,4.961,927,1.483,11.62,25.4,3.206,1
99,203,1.789,1.186,7.149,83.97,8.543,2.273,1.008,711.4,1.853,8.243,1.599,24.04,1.058,1.432,15.09,2.976,4.366,1.105,23.94,221,475.9,7.743,2.075,2.396,12.46,40.68,7.217,0
100,1.773,17,8.306,5.617,71.38,2.941,9.737,203,492.7,1.166,6.081,9.961,14.78,9.794,2.941,12.76,2.144,2.815,5.518,15.07,1.667,390,9.737,7.418,4.458,11.25,22.06,7.124,1
101,1.784,1.175,1.043,6.034,102.8,6.211,1.191,2.256,854.3,1.541,6.259,3.871,11.28,2.979,1.067,17.01,163,2.557,4.004,13.87,1.452,747.2,3.336,8.181,1.299,15.73,14.2,182,1
102,1.535,1.191,7.741,4.259,70.31,7.246,2.712,3.537,496.7,112,6.214,6.881,14.83,1.879,4.168,12.68,1.855,259,2.079,12.98,5.556,378.2,194,9.158,4.768,11.06,20.35,1.469,1
103,1.861,1.875,9.721,677,105.1,5.943,9.447,3.434,1233,1.314,6.248,1.332,18.05,2.236,1.167,19.92,7.049,2.792,2.802,74.08,1.216,813,3.067,8.158,1.137,16.11,25.27,1.938,0
104,1.692,1.492,943,6.001,120.2,6.847,1.153,2.205,1590,1.465,5.727,1.202,21.91,2.275,9.148,22.52,5.959,3.109,3.965,68.35,1.379,1075,2.855,761,9.709,18.45,31.39,1.422,0
105,1.739,1.539,9.832,4.953,94.29,4.349,8.222,2.281,862,1.223,564,6.237,13.66,1.928,8.648,16.76,4.165,2.626,2.492,37.11,9.186,658.8,3.035,7.048,8.918,14.58,17.24,1.812,1
106,1.566,1.695,8.123,8.412,82.5,2.343,6.195,2.801,595.7,1.227,5.708,1.36,28.92,162,762,13.89,2.116,2.372,2.439,16.83,6.493,514.3,3.898,7.242,5.824,12.88,35.74,2.153,1
107,1.761,2.751,9.579,5.727,84.52,295,7.107,4.572,634.3,1.288,654,5.664,19.35,3.253,9.811,14.42,2.684,3.596,3.439,20.65,9.858,514,4.393,9.166,1.125,12.98,21.95,3.255,1
108,158,2.203,8.491,744,61.05,9.615,2.337,4.154,364.2,1.199,6.235,1.363,19.34,9.546,9.615,10.93,2.957,2.552,935,18.24,3.846,285.7,2.337,792,503,9.683,25.59,1.123,1
109,1.621,1.069,8.588,2.866,118.6,5.814,8.169,1.087,1410,1.234,5.425,4.757,18.58,2.445,6.719,21.31,2.577,3.206,3.538,28.92,1.571,1041,1.412,6.938,8.468,18.31,26.36,9.181,0
110,1.589,1.171,7.966,4.837,89.59,2.652,2.087,2.104,688.9,1.034,5.586,6.549,15.66,1.017,1.076,14.91,2.142,2.136,626,19.25,8.216,606.5,9.213,671,5.581,14.02,19.31,9.238,1
111,1.908,2.062,1.096,6.351,91.43,5.246,9.789,2.695,826,1.512,613,8.098,17.05,3.262,1.342,16.39,425,3.068,3.209,35.74,1.374,602.4,3.119,7.957,1.279,13.96,22.07,2.679,0
112,1.953,1.964,9.029,3.872,122,8.271,1.468,3.337,1623,1.249,5.629,6.636,24.59,3.206,12,24.56,5.495,3.956,5.755,57.65,1.956,1076,371,9.288,1.206,19.02,30.41,1.842,0
113,2.196,1.738,1.216,7.405,73.3,6.367,1.689,4.435,508.1,2.184,795,1.027,18.83,9.379,1.339,13.24,2.114,4.154,8.402,13.99,2.524,361.6,4.588,1.403,2.154,11.08,32.82,4.549,0
114,1.486,2.079,1.004,9.519,70.39,2.932,4.944,2.701,472.4,1.363,6.615,1.743,18.59,1.644,1.155,12.4,3.796,2.251,1.412,25.78,7.887,370,199,7.732,746,10.94,25.58,2.134,1
115,1.714,187,9.916,6.739,88.73,3.783,5.385,3.747,701.9,1.425,6.843,1.249,18.68,2.566,1.352,15.11,3.191,2.849,1.935,26.45,1.284,571,2.086,9.031,107,13.71,25.63,2.251,1
116,2.238,196,8.946,7.501,61.49,1.514,2.948,3.913,385.2,1.234,6.413,1.35,18.49,1.542,9.883,11.14,3.776,3.174,1.277,22.73,656,289.1,2.714,8.524,6.258,9.667,25.62,1.989,1
117,1.621,1.574,7.984,6.588,61.68,1.043,1.541,2.268,349.9,111,5.952,1.687,28.2,1.109,6.104,10.67,1.781,2.321,719,11.28,4.866,290.9,145,7.211,4.626,9.755,36.92,127,1
118,1.695,1.938,9.231,5.833,78.31,2.027,4.392,196,624.6,1.368,5.916,7.786,18.02,217,7.087,14.29,2.527,3.218,2.413,18.57,8.829,458.4,0.02,747,7.175,12.21,24.04,1.388,1
119,1.564,1.411,8.662,5.726,111,2.837,2.891,1.578,1218,124,5.307,1.317,23.06,1.486,7.671,19.85,4.007,2.452,1.211,44.41,8.235,933.1,1.246,6.515,629,17.35,31.47,1.106,0
120,1.687,1.148,8.098,3.271,96.45,3.221,5.539,2.379,906.6,1.065,5.669,4.334,14.93,2.791,8.399,17.18,2.446,2.688,3.151,23.31,1.147,686.9,231,8.273,8.549,14.92,18.22,177,1
121,182,2.094,103,832,77.61,4.274,5.441,3.674,513.9,1.311,685,1.204,24.89,1.822,1.665,12.98,2.623,2.599,1.609,19.39,1.202,441.3,2.334,8.251,9.218,11.99,30.36,2.025,1
122,2.495,2.337,1.109,1.236,110.2,1.377,3.176,6.042,1226,1.504,8.104,2.454,23.2,5.172,3.024,19.85,1.292,3.277,6.181,138.5,2.462,773.5,8.232,1.019,3.114,15.66,31.64,5.995,0
123,1.746,1.113,9.714,335,85.42,5.252,8.259,172,740.7,1.503,6.177,6.123,21.81,3.904,6.853,16.23,1.938,3.693,3.728,14.49,1.607,531.5,1.452,9.618,1.047,13.17,29.89,1.384,0
124,1.883,1.677,1.013,6.662,73.87,2.929,4.328,2.784,491.8,1.389,6.168,1.038,14.93,1.582,1.006,12.65,2.562,2.664,1.804,18.62,9.608,406.3,2.105,7.809,7.808,11.52,21.19,1.228,1
